Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,1,Mon Sep 01 11:38:46 EDT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,2,Mon Sep 01 11:38:46 EDT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,3,Mon Sep 01 11:38:50 EDT 2025,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=128.7&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,4,Mon Sep 01 11:38:54 EDT 2025,GET,http://localhost:3000/,200,OK,48,469,80117,Medium,false,"Script, Comment"
Out of Scope,6,Mon Sep 01 11:38:55 EDT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,7,Mon Sep 01 11:38:55 EDT 2025,GET,http://localhost:3000/main.js,200,OK,30,483,457995,Medium,false,Upload
Processed,8,Mon Sep 01 11:38:55 EDT 2025,GET,http://localhost:3000/polyfills.js,200,OK,29,481,34840,Medium,false,
Processed,9,Mon Sep 01 11:38:55 EDT 2025,GET,http://localhost:3000/runtime.js,200,OK,35,479,3315,Medium,false,
Processed,10,Mon Sep 01 11:38:55 EDT 2025,GET,http://localhost:3000/vendor.js,200,OK,166,485,1622583,Medium,false,Comment
Processed,11,Mon Sep 01 11:38:55 EDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,200,OK,191,922,20808,Medium,false,Comment
Processed,17,Mon Sep 01 11:38:55 EDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js,200,OK,227,913,85578,Medium,false,"Script, Comment"
Processed,20,Mon Sep 01 11:38:55 EDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,200,OK,426,887,4064,Medium,false,
Processed,21,Mon Sep 01 11:38:56 EDT 2025,GET,http://localhost:3000/styles.css,200,OK,56,469,685248,Medium,false,Comment
Processed,22,Mon Sep 01 11:38:56 EDT 2025,GET,http://localhost:3000/assets/i18n/en.json,200,OK,19,475,32473,Medium,false,JSON
Processed,25,Mon Sep 01 11:38:56 EDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=Pa5xd7U,200,OK,19,230,96,Low,false,
Processed,27,Mon Sep 01 11:38:57 EDT 2025,GET,http://localhost:3000/rest/admin/application-version,200,OK,107,384,20,Medium,false,JSON
Processed,30,Mon Sep 01 11:38:57 EDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,196,389,21730,Medium,false,JSON
Processed,31,Mon Sep 01 11:38:57 EDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,224,389,21730,Medium,false,JSON
Processed,32,Mon Sep 01 11:38:57 EDT 2025,GET,http://localhost:3000/rest/admin/application-version,200,OK,233,384,20,Medium,false,JSON
